Rk,Player,School,Conf,ConfGrp,Cmp,Passing Attempts,Pct,Passing Yards,Y/A,AY/A,Passing TD,Interceptions,Rate,Rushing Attempts,Rushing Yards,Rushing Avg,Rushing TD
35,Clint Trickett,West Virginia,Big 12,Big Five,281,419,67.1,3285,7.8,7.6,18,10,142.3,42,-106,-2.5,1
36,Justin Holman,Central Florida,American,Group of Five,200,339,59,2661,7.8,7.3,20,13,136.7,103,162,1.6,3
37,Kevin Hogan,Stanford,Pac-12,Big Five,218,333,65.5,2603,7.8,7.8,17,8,143.2,84,245,2.9,5
38,Logan Woodside,Toledo,MAC,Group of Five,164,269,61,2087,7.8,8,19,7,144.2,47,88,1.9,3
39,Mike Bercovici,Arizona State,Pac-12,Big Five,115,186,61.8,1445,7.8,8.1,12,4,144.1,26,16,0.6,0
40,Blake Frohnapfel,Massachusetts,MAC,Group of Five,241,436,55.3,3345,7.7,7.7,23,10,132.5,41,-85,-2.1,0
41,Nick Arbuckle,Georgia State,Sun Belt,Group of Five,259,429,60.4,3283,7.7,6.9,23,17,134.4,73,10,0.1,2
42,Joe Licata,Buffalo,MAC,Group of Five,223,344,64.8,2642,7.7,7.9,29,11,150.8,34,-6,-0.2,2
43,Hutson Mason,Georgia,SEC,Big Five,178,263,67.7,2019,7.7,8.5,20,4,154.2,40,14,0.4,4
44,Lucas Falk,Washington State,Pac-12,Big Five,156,243,64.2,1883,7.7,7.5,13,7,141.2,36,-70,-1.9,1
45,Taylor Kelly,Arizona State,Pac-12,Big Five,141,244,57.8,1874,7.7,8.4,20,5,145.3,86,232,2.7,3
46,Taylor Heinicke,Old Dominion,CUSA,Group of Five,289,455,63.5,3476,7.6,7.6,30,14,143.3,80,139,1.7,2
47,Cody Sokol,Louisiana Tech,CUSA,Group of Five,246,420,58.6,3189,7.6,7.6,29,13,138.9,50,56,1.1,2
48,Christian Stewart,Brigham Young,Ind,Independent,176,300,58.7,2273,7.6,8.1,22,6,142.5,71,174,2.5,4
49,Will Gardner,Louisville,ACC,Big Five,127,221,57.5,1669,7.6,8,12,3,136.1,22,-106,-4.8,0
50,Mitch Leidner,Minnesota,Big Ten,Big Five,101,206,49,1540,7.5,6.7,10,8,120.1,117,461,3.9,10
51,Connor Halliday,Washington State,Pac-12,Big Five,354,526,67.3,3873,7.4,7.6,32,11,145,29,-131,-4.5,0
52,Paxton Lynch,Memphis,American,Group of Five,235,367,64,2725,7.4,7.7,18,6,139.3,100,283,2.8,10
53,Colby Kirkegaard,Wyoming,MWC,Group of Five,205,358,57.3,2654,7.4,7,12,9,125.6,78,-110,-1.4,0
54,Davis Webb,Texas Tech,Big 12,Big Five,211,345,61.2,2539,7.4,7.1,24,13,138.4,17,15,0.9,1
55,Daxx Garman,Oklahoma State,Big 12,Big Five,152,277,54.9,2041,7.4,6.3,12,12,122.4,60,-16,-0.3,1
56,Wes Lunt,Illinois,Big Ten,Big Five,149,233,63.9,1729,7.4,8,14,3,143.5,16,-80,-5,0
57,Marquise Williams,North Carolina,ACC,Big Five,245,391,62.7,2870,7.3,7.3,20,9,136.6,178,737,4.1,12
58,Cyler Miles,Washington,Pac-12,Big Five,194,291,66.7,2129,7.3,8,16,3,144.2,109,280,2.6,4
59,Greg Ward,Houston,American,Group of Five,161,236,68.2,1720,7.3,6.9,9,6,136.9,104,491,4.7,6
60,Andrew Hendrix,Miami (OH),MAC,Group of Five,222,458,48.5,3280,7.2,7.3,23,9,121.3,157,384,2.4,6
61,Blake Decker,Nevada-Las Vegas,MWC,Group of Five,231,401,57.6,2881,7.2,5.9,15,18,121.3,147,366,2.5,5
62,Fredi Knighten,Arkansas State,Sun Belt,Group of Five,246,401,61.3,2874,7.2,7.3,19,7,133.7,194,786,4.1,11
63,Austin Grammer,Middle Tennessee State,CUSA,Group of Five,206,321,64.2,2307,7.2,6.5,16,12,133.5,124,442,3.6,6
64,Quinn Kaehler,San Diego State,MWC,Group of Five,158,280,56.4,2016,7.2,6.2,9,10,120.4,24,-116,-4.8,0
65,Tyler Murphy,Boston College,ACC,Big Five,120,211,56.9,1526,7.2,6.1,11,10,125.3,170,1079,6.3,10
66,Tyler Jones,Texas State,Sun Belt,Group of Five,246,376,65.4,2670,7.1,7.4,22,7,140.7,167,539,3.2,6
67,Jake Rudock,Iowa,Big Ten,Big Five,211,337,62.6,2404,7.1,7.4,16,5,135.2,65,154,2.4,3
68,Anu Solomon,Arizona,Pac-12,Big Five,285,491,58,3458,7,7.5,27,7,132.5,114,259,2.3,1
69,Sean Mannion,Oregon State,Pac-12,Big Five,282,453,62.3,3164,7,6.9,15,8,128.3,48,-306,-6.4,1
70,Joe Gray,San Jose State,MWC,Group of Five,210,330,63.6,2305,7,6.4,11,9,127.9,57,108,1.9,3
71,Jaquez Johnson,Florida Atlantic,CUSA,Group of Five,182,315,57.8,2215,7,7.4,17,5,131.5,120,513,4.3,7
72,Drew Hare,Northern Illinois,MAC,Group of Five,179,299,59.9,2097,7,7.8,17,2,136.2,145,850,5.9,8
73,Travis Wilson,Utah,Pac-12,Big Five,173,287,60.3,2012,7,7.6,17,4,135.9,103,218,2.1,2
74,Mike Cummings,Kansas,Big 12,Big Five,137,244,56.1,1715,7,6.7,9,6,122.4,67,23,0.3,4
75,Reggie Bell,Eastern Michigan,MAC,Group of Five,105,184,57.1,1297,7,6.6,9,6,125.9,133,562,4.2,4
76,Patrick Towles,Kentucky,SEC,Big Five,225,393,57.3,2718,6.9,6.6,14,9,122.5,145,303,2.1,6
77,Anthony Jennings,Louisiana State,SEC,Big Five,104,213,48.8,1460,6.9,6.3,10,7,115.3,100,284,2.8,0
78,Nick Mullens,Southern Mississippi,CUSA,Group of Five,218,365,59.7,2470,6.8,6.3,12,9,122.5,49,39,0.8,0
79,Jacoby Brissett,North Carolina State,ACC,Big Five,206,344,59.9,2344,6.8,7.4,22,5,135.3,110,498,4.5,3
80,Brandon Silvers,Troy,Sun Belt,Group of Five,190,270,70.4,1823,6.8,7.1,11,3,138.3,100,196,2,5
81,Mike White,South Florida,American,Group of Five,122,242,50.4,1639,6.8,6.1,8,7,112.4,29,-85,-2.9,0
82,Chandler Whitmer,Connecticut,American,Group of Five,124,225,55.1,1522,6.8,6.1,11,8,121,76,77,1,2
